BANG_TITLE                          Bang!
ERROR_TARGETS_NOT_UNIQUE            Targets are not unique
ERROR_TARGET_NOT_CARD               Target is not a card
ERROR_TARGET_BLACK_CARD             You can't target black cards
ERROR_TARGET_NOT_TABLE_CARD         You can only play this card on table cards
ERROR_TARGET_NOT_HAND_CARD          You can only play this card on hand cards
ERROR_TARGET_NOT_BLUE_CARD          You can only play this card on blue cards
ERROR_TARGET_NOT_CLUBS              You can only play this card on clubs cards
ERROR_TARGET_NOT_BANG               You can only play this card on Bang! cards
ERROR_TARGET_NOT_MISSED             You can only play this card on Mancato! cards
ERROR_TARGET_NOT_BEER               You can only play this card on Beer cards
ERROR_TARGET_NOT_BRONCO             You can only play this card on Bronco
ERROR_TARGET_NOT_CUBE_SLOT          You can't put cubes on this card
ERROR_SCENARIO_AT_PLAY              {} is at play
ERROR_CANT_PLAY_CARD                You can't play {}
ERROR_ONE_BANG_PER_TURN             You can only play one Bang card per turn
ERROR_CANT_SELF_DAMAGE              You can't take off the last life point
ERROR_CANT_HEAL_PAST_FULL_HP        You can't heal yourself past the last life point
ERROR_NOT_START_OF_TURN             It's not the start of your turn
ERROR_DISCARD_PILE_EMPTY            The discard pile is empty
ERROR_MAX_USAGES                    You can't play {0} more than {1} times per turn
LOG_GAME_START                      Game started
LOG_GAME_OVER                       Game over
LOG_DECK_RESHUFFLED                 The deck is reshuffled
LOG_TURN_START                      It's {0}'s turn
LOG_SOLD_BEER                       {0} sells {1}
LOG_DISCARDED_CARD                  {0} forces {1} to discard {2}
LOG_DISCARDED_SELF_CARD             {0} discards {2}
LOG_STOLEN_CARD                     {0} steals {2} from {1}
LOG_STOLEN_SELF_CARD                {0} redraws {1}
LOG_DRAWN_WITH_CHARACTER            {1} draws using {0}
LOG_DRAWN_FROM_GENERALSTORE         {0} draws {1} for {2}
LOG_PLAYED_CHARACTER                {1} plays {0}'s effect
LOG_RESPONDED_WITH_CHARACTER        {1} responds with {0}'s effect
LOG_PLAYED_CARD                     {1} plays {0}
LOG_PLAYED_CARD_ON                  {1} plays {0} on {2}
LOG_PLAYED_TABLE_CARD               {1} plays {0} from the table
LOG_EQUIPPED_CARD                   {1} equips {0}
LOG_EQUIPPED_CARD_TO                {1} equips {0} on {2}
LOG_BOUGHT_CARD                     {1} buys and plays {0}
LOG_BOUGHT_EQUIP                    {1} buys and equips {0}
LOG_BOUGHT_EQUIP_TO                 {1} buys and equips {0} to {2}
LOG_RESPONDED_WITH_CARD             {1} responds with {0}
LOG_DRAWN_FROM_DECK                 {0} draws from the deck
LOG_DRAWN_CARD                      {0} draws {1}
LOG_DRAWN_FROM_DISCARD              {0} draws {1} from the top of the discard pile
LOG_CHECK_DREW_CARD                 {1} "draws!" {2} for {0}
LOG_TAKEN_DAMAGE                    {1} takes 1 damage for {0}
LOG_TAKEN_DAMAGE_PLURAL             {1} takes {2} damage for {0}
LOG_HEALED                          {0} heals for 1 life point
LOG_HEALED_PLURAL                   {0} heals for {1} life points
LOG_CHOSE_CARD_FOR                  {1} chooses {2} for {0}
LOG_PLAYER_KILLED                   {0} killed {1}
LOG_PLAYER_DIED                     {0} died
